speed_rpm,motor2_max_torque_nm
39.07435911045,154.76888997534735
214.924897829202,154.76888997534735
390.7754365479528,154.79050272355445
566.6259752667048,154.76888997534735
742.4765139854568,154.8121154717615
918.3270527042088,154.76888997534735
1094.1775914229595,154.76888997534735
1270.0281301417117,154.79050272355445
1445.8786688604637,154.76888997534735
1621.7292075792154,154.76888997534735
1788.698405958636,154.5575653262114
1989.4166976275137,152.95341912595214
2165.2672363462657,151.50536499607742
2341.1177750650177,150.1869873554452
2516.9683137837683,148.7389332255705
2692.8188525025203,146.1670161889273
2844.6897723050783,140.62334627380986
2980.574279496841,135.24777551141418
3124.4519929940016,129.85899695844753
3260.3365001857646,124.4867281436946
3388.2278010721298,119.22672554879516
3524.1123082638924,114.06247943553544
3667.990021761053,108.9114411128467
3811.867735258213,103.681156046732
3963.738655060771,98.56709953764208
4131.595987474125,93.3886850672244
4291.460113582081,88.17520991638186
4443.331033384639,82.99511445443693
4611.188365797993,77.93557009915821
4787.038904516746,73.85076068801902
4962.889443235497,69.78756402508697
5138.739981954248,65.65952911753362
5314.590520673,61.63955795101571
5490.441059391752,58.11667999326076
5666.291598110503,55.977017920759295
5842.142136829255,54.01025783391452
6017.992675548007,51.97865950244847
6193.843214266758,50.03351216381077
6369.69375298551,47.98030108413766
6545.544291704262,45.97031550087869
6721.394830423014,43.96032991761975
6897.245369141766,41.9287315861537
7073.095907860517,39.89713325468767
7248.946446579268,37.930373167842845
7440.783397908816,35.79071109534137
7618.232577888647,34.40101138562581
7792.484475346319,33.45653428897617
7968.335014065071,32.462347871450184
8144.185552783823,31.532999698545545
8320.036091502574,30.560426029226697
8495.886630221325,29.587852359907863
8665.342603895759,28.647697812899636
8845.98906639775,27.625414822704496
9028.234170160818,26.60313183250934
9199.288785096333,25.67594493442536
9375.139323815083,24.68175851689944
9550.989862533836,23.925312329651412
9726.840401252588,23.082415149575084
9904.28958123242,22.537773894756537
10078.541478690093,21.7424247607358
10254.392017408843,21.07242956631613
10430.242556127594,20.33759612727525
10606.093094846348,19.689213681062675
10781.9436335651,18.95438024202176
10957.794172283846,18.284385047602107
11133.644711002598,17.48471336393994
11309.49524972135,16.85794366593445
11485.3457884401,16.079884730479407
11652.314986819529,15.24179038333792
11837.046865877606,14.394090370326694
11988.917785680169,14.08610870837574
