speed_rpm,torque_nm,efficiency_percent
47.4934036939314,8.571428571428571,51.0
47.4934036939314,9.107142857142858,51.0
47.4934036939314,9.642857142857142,51.0
47.4934036939314,10.178571428571429,51.0
47.4934036939314,10.714285714285714,51.0
47.4934036939314,11.25,51.0
47.4934036939314,11.785714285714286,51.0
47.4934036939314,12.321428571428571,51.0
47.4934036939314,12.857142857142856,51.0
47.4934036939314,13.392857142857142,51.0
47.4934036939314,13.928571428571429,51.0
47.4934036939314,14.464285714285715,51.0
47.4934036939314,15.0,51.0
47.4934036939314,15.535714285714285,51.0
47.4934036939314,16.071428571428573,51.0
47.4934036939314,16.607142857142858,51.0
47.4934036939314,17.142857142857142,51.0
47.4934036939314,17.678571428571427,51.0
47.4934036939314,18.214285714285715,51.0
47.4934036939314,18.75,51.0
47.4934036939314,19.285714285714285,51.0
47.4934036939314,19.82142857142857,51.0
47.4934036939314,20.357142857142858,51.0
47.4934036939314,20.892857142857142,51.0
47.4934036939314,21.428571428571427,51.0
47.4934036939314,21.964285714285715,51.0
47.4934036939314,22.5,51.0
47.4934036939314,23.035714285714285,51.0
47.4934036939314,23.571428571428573,51.0
47.4934036939314,24.107142857142858,51.0
47.4934036939314,24.642857142857142,51.0
47.4934036939314,25.17857142857143,51.0
47.4934036939314,25.71428571428571,51.0
47.4934036939314,26.25,51.0
47.4934036939314,26.785714285714285,51.0
47.4934036939314,27.32142857142857,51.0
47.4934036939314,27.857142857142858,51.0
47.4934036939314,28.392857142857142,51.0
47.4934036939314,28.92857142857143,51.0
47.4934036939314,29.464285714285715,51.0
47.4934036939314,30.0,51.0
47.4934036939314,30.53571428571429,51.0
47.4934036939314,31.07142857142857,51.0
47.4934036939314,31.60714285714285,51.0
47.4934036939314,32.142857142857146,51.0
47.4934036939314,32.67857142857143,51.0
47.4934036939314,33.214285714285715,51.0
47.4934036939314,33.75,51.0
47.4934036939314,34.285714285714285,51.0
47.4934036939314,34.82142857142857,51.0
47.4934036939314,35.357142857142854,51.0
47.4934036939314,35.892857142857146,51.0
47.4934036939314,36.42857142857143,51.0
47.4934036939314,52.5,51.0
47.4934036939314,53.035714285714285,51.0
47.4934036939314,53.57142857142857,51.0
47.4934036939314,54.10714285714285,51.0
47.4934036939314,54.64285714285714,51.0
47.4934036939314,55.17857142857143,51.0
47.4934036939314,55.71428571428572,51.0
47.4934036939314,56.25,51.0
47.4934036939314,56.785714285714285,51.0
47.4934036939314,57.32142857142857,51.0
47.4934036939314,57.85714285714286,51.0
47.4934036939314,58.392857142857146,51.0
47.4934036939314,58.92857142857143,51.0
47.4934036939314,59.46428571428572,51.0
47.4934036939314,60.0,51.0
47.4934036939314,60.53571428571429,51.0
47.4934036939314,61.07142857142858,51.0
47.4934036939314,61.60714285714286,51.0
47.4934036939314,62.14285714285714,51.0
47.4934036939314,62.67857142857142,51.0
47.4934036939314,63.21428571428571,51.0
47.4934036939314,63.75,51.0
47.4934036939314,64.28571428571429,51.0
47.4934036939314,64.82142857142857,51.0
47.4934036939314,65.35714285714286,51.0
47.4934036939314,65.89285714285714,51.0
47.4934036939314,66.42857142857143,51.0
47.4934036939314,66.96428571428572,51.0
47.4934036939314,67.5,51.0
47.4934036939314,68.03571428571428,51.0
47.4934036939314,68.57142857142857,51.0
47.4934036939314,69.10714285714286,51.0
47.4934036939314,69.64285714285714,51.0
47.4934036939314,70.17857142857143,51.0
47.4934036939314,70.71428571428571,51.0
47.4934036939314,71.25,51.0
47.4934036939314,71.78571428571429,51.0
47.4934036939314,72.32142857142857,51.0
47.4934036939314,72.85714285714286,51.0
47.4934036939314,73.39285714285714,51.0
47.4934036939314,73.92857142857143,51.0
47.4934036939314,74.46428571428571,51.0
47.4934036939314,75.0,51.0
47.4934036939314,75.53571428571429,51.0
47.4934036939314,76.07142857142857,51.0
47.4934036939314,76.60714285714286,51.0
47.4934036939314,77.14285714285714,51.0
47.4934036939314,77.67857142857143,51.0
47.4934036939314,78.21428571428572,51.0
47.4934036939314,78.75,51.0
47.4934036939314,79.28571428571428,51.0
47.4934036939314,79.82142857142857,51.0
47.4934036939314,80.35714285714286,51.0
47.4934036939314,80.89285714285714,51.0
47.4934036939314,81.42857142857143,51.0
47.4934036939314,81.96428571428571,51.0
47.4934036939314,82.5,51.0
47.4934036939314,83.03571428571429,51.0
